text,label
used SQL for data extraction ETL and feature engineering developed predictive models classification regression and clustering experience with pandas numpy matplotlib and data cleaning. 4 years experience. Education M.Tech. strong communication skills.,Data Scientist
created project plans timelines budgets risk and scope delivered software projects on time within budget handled resource allocation vendor management and change requests. 1 years experience. Education BSc. team leadership.,Project Manager
experience in Java React Git and docker implemented microservices unit tests CI CD pipelines worked with databases MySQL MongoDB authentication and OAuth. 6 years experience. Education MBA. mentored interns.,Software Engineer
prepared dashboards Power BI Excel and reporting managed content calendar brand awareness and KPIs conducted market research surveys customer segmentation. 6 years experience. Education BCA. worked with cross functional teams.,Marketing Analyst
built machine learning models using Python and scikit learn used SQL for data extraction ETL and feature engineering developed predictive models classification regression and clustering. 6 years experience. Education B.Tech. team leadership.,Data Scientist
created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups. 5 years experience. Education BCA. worked with cross functional teams.,Project Manager
worked with databases MySQL MongoDB authentication and OAuth experience in Java React Git and docker implemented microservices unit tests CI CD pipelines. 5 years experience. Education BSc. strong communication skills.,Software Engineer
built machine learning models using Python and scikit learn experience with pandas numpy matplotlib and data cleaning used SQL for data extraction ETL and feature engineering. 2 years experience. Education MBA. strong communication skills.,Data Scientist
developed predictive models classification regression and clustering used SQL for data extraction ETL and feature engineering worked with seaborn Jupyter notebooks and statistics A B testing. 6 years experience. Education B.Tech. strong communication skills.,Data Scientist
worked with seaborn Jupyter notebooks and statistics A B testing experience with pandas numpy matplotlib and data cleaning developed predictive models classification regression and clustering. 7 years experience. Education MSc. won employee of the month.,Data Scientist
experience with pandas numpy matplotlib and data cleaning worked with seaborn Jupyter notebooks and statistics A B testing used SQL for data extraction ETL and feature engineering. 2 years experience. Education M.Tech. team leadership.,Data Scientist
conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel managed recruitment onboarding payroll and employee relations. 1 years experience. Education MBA. strong communication skills.,HR Specialist
managed cross functional teams scrum agile sprints and standups handled resource allocation vendor management and change requests delivered software projects on time within budget. 7 years experience. Education M.Tech. mentored interns.,Project Manager
experience with pandas numpy matplotlib and data cleaning used SQL for data extraction ETL and feature engineering built machine learning models using Python and scikit learn. 6 years experience. Education BSc. worked with cross functional teams.,Data Scientist
managed content calendar brand awareness and KPIs conducted market research surveys customer segmentation optimized conversion rates A B tests email marketing. 4 years experience. Education BCA. won employee of the month.,Marketing Analyst
prepared dashboards Power BI Excel and reporting managed content calendar brand awareness and KPIs optimized conversion rates A B tests email marketing. 5 years experience. Education M.Tech. won employee of the month.,Marketing Analyst
used SQL for data extraction ETL and feature engineering worked with seaborn Jupyter notebooks and statistics A B testing experience with pandas numpy matplotlib and data cleaning. 3 years experience. Education MSc. strong communication skills.,Data Scientist
handled HR policies compliance benefits training and engagement organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions. 8 years experience. Education MSc. team leadership.,HR Specialist
handled HR policies compliance benefits training and engagement organized campus hiring performance reviews and leave management managed recruitment onboarding payroll and employee relations. 2 years experience. Education B.Tech. worked with cross functional teams.,HR Specialist
experience with pandas numpy matplotlib and data cleaning worked with seaborn Jupyter notebooks and statistics A B testing built machine learning models using Python and scikit learn. 7 years experience. Education B.Tech. team leadership.,Data Scientist
worked with databases MySQL MongoDB authentication and OAuth developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines. 2 years experience. Education MSc. won employee of the month.,Software Engineer
delivered software projects on time within budget created project plans timelines budgets risk and scope managed cross functional teams scrum agile sprints and standups. 3 years experience. Education BSc. mentored interns.,Project Manager
conducted market research surveys customer segmentation prepared dashboards Power BI Excel and reporting analyzed campaigns Google Analytics SEO SEM and social media. 1 years experience. Education BCA. strong communication skills.,Marketing Analyst
optimized algorithms data structures and performance worked with databases MySQL MongoDB authentication and OAuth developed REST APIs with Node and Express. 3 years experience. Education BSc. mentored interns.,Software Engineer
